築年数	部屋数
15.000000	5612.000000
19.000000	7650.000000
17.000000	720.000000
14.000000	1501.000000
20.000000	1454.000000
29.000000	1387.000000
25.000000	2907.000000
41.000000	812.000000
34.000000	4789.000000
築年数	部屋数
15.000000	5612.000000
19.000000	7650.000000
17.000000	720.000000
14.000000	1501.000000
20.000000	1454.000000
29.000000	1387.000000
25.000000	2907.000000
41.000000	812.000000
34.000000	4789.000000
築年数	部屋数
15.000000	5612.000000
19.000000	7650.000000
17.000000	720.000000
14.000000	1501.000000
20.000000	1454.000000
29.000000	1387.000000
25.000000	2907.000000
41.000000	812.000000
34.000000	4789.000000
